PROJECT NAME,APPLICANT NAME,ADDRESS NUMBER,ADDRESS NUMBER (HIGH),STREET DIRECTION,STREET NAME,STREET TYPE,WARD,COMMUNITY AREA,TIF DISTRICT,APPROVAL DATE,COMPLETION DATE,PROPERTY TYPE,PROJECT DESCRIPTION,INCENTIVE AMOUNT,TOTAL PROJECT COST,JOBS CREATED: ASPIRATIONAL,JOBS RETAINED: ASPIRATIONAL,LOCATION
Chicago Printmakers Collaborative,Deborah Lader,4912,,N,Western,Ave,40,Lincoln Square,Western Avenue (North),2/17/2015,11/9/2015,Commercial,"demolition, masonry repairs (install new 12""x24"" façade tiles; new footing under storefront wall; install first floor concrete slab; tuck pointing of building exterior when applicable; repairs to parapet caps; work to existing basement slab associated with rough plumbing; rough carpentry to frame out new first floor partitions, ceilings, and soffits; installation of first floor doors, cabinets, windows, and skylights; painting; porcelain tile flooring at first floor; removal and replacement of existing roofing system and flashings; new storefront system (frames, glass, and door); rough plumbing (rough in underground cast iron pipes; install drainage and vent lines); furnish and install plumbing fixtures in first floor (toilet, sinks, and mop basin); rough electrical for the first floor (furnish and install 400 amp service and panels per plans, new conduit and wiring per plans); furnish and install first floor light fixtures (emergency lighting and exit signage and fluorescent lighting)",100000,191634.02,0,0,POINT (-87.689059 41.97087)
Great Chicago Food & Beverage,Payam Bereliani,3149,,W,Devon,Ave,50,West Ridge,Devon/Western,6/23/2009,5/7/2010,Commercial,"HVAC,",7464.82,14929.63,,,POINT (-87.708958 41.997393)
"Miller Chicago, LLC - Real Estate Broker",Andrea Miller,34,,S,Ashland,Ave,28,Near West Side,Central West,5/13/2017,5/10/2018,Commercial,"replace damaged storefront with new glass, furnish and install frame for awning (canvas and graphics not included); electrical work including installation of outlets and switches; HVAC work including new condensing unit, ducts, and drainage; and plumbing work including new water heater and plumbing lines for kitchenette, and architectural services.",50000,75791.56,10,14,POINT (-87.666855 41.88041200000001)
"Buci, Inc. dba City Olive",Karen Rose,5644,,N,Clark,St,40,Edgewater,Clark/Ridge,5/30/2012,1/10/2013,Commercial,,16212.11,21616.15,3,2,POINT (-87.66906300000001 41.984829)
Law Offices of McCready,Law Offices of McCready,10008,,S,Western,Ave,19,Beverly,Western/Rock Island,9/14/2011,9/14/2011,Commercial,"roof, parking lot, window, doors, insulation, signage, fence, roof, parking lot, window, doors, insulation, signage, fence",12285.32,24570.63,0,9,POINT (-87.68179 41.71157900000001)
Sean Ghassemi,Sean Ghassemi,407,,W,North,Ave,2,Near North Side,Near North,4/24/2013,11/14/2014,Commercial,"façade repairs including window capping, installation of new deck/capping on cornice, parapet wall repairs including tuckpointing, steel, wood and sheet metal repairs, painting and finishing, roofing repairs including new flashings and masonry repairs on parapet wall, and installation of new rolling parking gate with steel frame dedicated to chiropractor’s office (Mr. Ghassemi’s commercial ), renovation of the commercial space in the building basement including demolition of existing concrete floor and pouring new concrete, carpentry and framing for new walls, new ceilings with insulation, new stairwell to chiropractor office on first floor, new vinyl flooring, plumbing and electrical work, painting and finishing; installation of a new HVAC system serving commercial space (only) including 2 new furnaces with condenser, ductwork and wiring; and exterior restoration of entry doorway and doors at front façade",83236.73,117770,0,3,POINT (-87.638907 41.911067)
Ellana Designs Boutique,Ella Dukes,7511,,S,Cottage Grove,Ave,6,Greater Grand Crossing,87th/Cottage Grove,,9/3/2008,Commercial,"Roofing, HVAC, lighting, stairs, drywall, electrical, remove pipes &amp; Signage",72975,97300,,,POINT (-87.605391 41.758023)
NJ Hot Dog Stand,Mary Norman,745,,S,Kedzie,Ave,24,East Garfield Park,Midwest,,5/17/2004,Commercial,Complete REHAB,44600,89200,,,POINT (-87.705839 41.871436)
Manske Dieckman Thompson,Jamen Thompson,4619,,N,Broadway,St,46,Uptown,Wilson Yard,,5/2/2008,Commercial,"office buildout, bathroom, plumbing, lighting, new entry door, partitions, electrical, HVAC, signage",45812.25,92787.81,,,POINT (-87.657678 41.965778)
Plants Inc,Patrick Corrado,2459,,W,Montrose,Ave,47,North Center,Western Avenue (South),,12/17/2008,Commercial,signage,2132.89,7755.96,,,POINT (-87.691 41.961322)
Jilee Insurance,Ji Yong Lee,5814,,N,Lincoln,Ave,40,West Ridge,Lincoln Avenue,,7/21/2009,Commercial,"ROOF, Floor, sign, door, granite, storefront, windows, misc.",38126.91,76253.82,,,POINT (-87.701891 41.987055)
Fashion Corner,Nasser Diab,1658,,E,87th,St,8,Avalon Park,Stony Island/Burnside,,3/12/2010,Commercial,"HVAC, doors, water heaters, plumbing, insulation, electrical, lighting, walls, ceiling",44764.16,89528.32,,,POINT (-87.582907 41.736948)
Herbert Brusso,Herbert Brusso,4131,,N,Western,Ave,47,North Center,Western Avenue (South),,10/19/2005,Landlord,Awnings / Cement,12591,16788,,,POINT (-87.688465 41.956818)
"S.W. Crew, Inc. dba Crew Bar + Grill",Michael Sullivan,4804,,N,Broadway,St,46,Uptown,Lawrence/Broadway,6/25/2013,4/3/2014,Commercial,"new storefront system (includes demolition of existing storefront, framing of new opening, steel panels, and aluminum storefront with glass), HVAC and associated ductwork, new linoleum flooring, move server station to area adjacent to kitchen, install hand sink, wall framing, demolition of existing server station, and wall opening for new entry to bathrooms, architectural expenses, and engineering expenses",50000,84891.88,0,22,POINT (-87.659677 41.969126)
"All Weather Specialist, Inc.",Kevin Jones,214,,W,119th,St,34,West Pullman,119th/Halsted,12/11/2015,2/3/2017,Commercial,"exterior work including masonry repairs and tuckpointing around building and to garage, new overhead door for garage (used as storage facility), new exterior doors in rear and at side entrance; interior build out of office space including new framing, repairs to damaged drywall and installation of new drywall for new walls, insulation, new acoustical drop ceiling, new flooring (vinyl and commercial tile), new doors; electrical work including upgrades to circuit panel, new outlets and light fixtures; new plumbing fixtures for expanded restroom; installation of new furnace and condensing unit in basement; repairs to concrete foundation in basement; painting and finishing work for new office space; architectural services and permit fees, completion of project items including framing and drywall, flooring, ceiling tiles, installation of doors, electrical work, plumbing work including installation of fixtures for restrooms, HVAC work including installation of a new furnace, condensing unit, and associated ductwork, tuckpointing and masonry repairs, painting and finishing work",69753.75,94200,2,4,POINT (-87.627961 41.677962)
Vita Food Products,Larry Carroll,2222,,W,Lake,St,27,Near West Side,Kinzie Industrial Corridor,1/6/2010,3/29/2011,Industrial,"roof, plumbing, cooler and freezer door replacement, HVAC equipment for cooler, walk-in freezer, roof, plumbing, cooler and freezer door replacement, HVAC equipment for cooler, walk-in freezer",150000.01,289575.93,,,POINT (-87.682117 41.884789000000005)
Orchestra Hall Recording Studio,Lanny Grilly,2341,,N,Milwaukee,Ave,1,Logan Square,Fullerton/Milwaukee,11/3/2009,2/16/2011,Commercial,"roof, HVAC, floor, painting, walls, parking lot, bathrooms, windows, roof, HVAC, floor, painting, walls, parking lot, bathrooms, windows, Heating and cooling, roof, HVAC, floor, painting, walls, parking lot, bathrooms, windows, roof, HVAC, floor, painting, walls, parking lot, bathrooms, windows",72684,96912,,,POINT (-87.698645 41.923765)
Doshi Distributors,Rajni Doshi,2323,,N,Pulaski,Rd,30,Logan Square,Pulaski Corridor,,10/24/2008,Industrial,"electrical service, hvac, storefront, parking, electrical service, hvac, storefront, parking",50000,101150,,,POINT (-87.726692 41.923186)
Christy Family Partnership,Nick Christy Georgia Christy,3029,,E,92nd,St,10,South Chicago,Commercial Avenue,,9/22/2009,Landlord,"hvac, electrical, plumbing, interior renovation, ,floor, façade",24789.5,49579,,,POINT (-87.550011 41.728253)
Prepare To Win,Ray Kincaid,4445,,N,Milwaukee,Ave,45,Portage Park,Jefferson Park,,3/29/2001,Commercial,"HVAC, Façade, ADA compliance",50000,143443,,,POINT (-87.755295 41.961645)
Crystal's Unisex,Crystal Vargas,1850,,W,47th,St,15,New City,47th/Ashland,11/25/2014,10/20/2015,Commercial,"installation of a new storefront system (frames, glass windows and doors); removal and replacement of commercial heating and forced air systems; electrical service work including replacement of panel, new conduit and wiring; removal of drop ceiling and restoration of original ceiling; new drywall; new soffits around ductwork; plumbing work connected to salon fixtures (fixtures not included); painting and finish work",44681.25,59575,1,4,POINT (-87.671755 41.808577)
Maria's Needle Craft,Maria Fons,1811,,W,47th,St,15,New City,47th/Ashland,6/14/2017,8/28/2017,Commercial,"storefront improvements including installation of new aluminum frames with double insulated glass windows and a commercial grade door, masonry repairs including replacement of all damaged bricks as needed and installation of new structural steel lintels, roofing repairs including a new rubberized roofing membrane on the front area of the roof associated with repairs to the front elevation, interior improvements including removal of existing flooring down to the joist system, replacement of joists and repairs as needed, installation of new sub-flooring with a vinyl tile finishing, new drywall, and painting",100000,149539.5,0,3,POINT (-87.670204 41.808589)
Bald Eagle Foods Inc,Mildred & Michael Turner-Jackson,1640,1648,W,115th,St,34,McKinley Park,119th & I-57,3/6/2011,5/2/2012,Commercial,"parking lot, awnings, outdoor ID sign and reader board, fence, paint exterior, roof, barriers, interior, cameras, hvac, purchase adjacent land for parking and expansion; address range is 1640-1648 W 115th St.",119014.5,164000,5,5,POINT (-87.663209 41.684781)
Professional Eye Center PC,Jeanie Washington,1517,,E,53rd,St,5,Hyde Park,53rd Street,7/31/2012,2/5/2013,Commercial,,50000,67295,4,4,POINT (-87.588351 41.799584)
"Empire Cooler Service, Inc.",Richard Klaskin,940,,W,Chicago,Ave,27,West Town,River West,1/27/2014,10/16/2014,Industrial,demolish existing sectional doors and replace with new sectional doors; construction of new structural subfloor; installation of corrosive resistant epoxy flooring; concrete restoration; demolition of old fencing and installation of new metal fencing and gates,28908.8,57817.6,,,POINT (-87.651479 41.896372)
Penthouse Hairstyling,Joseph Insolia,6029,,W,Irving Park,Rd,38,Dunning,West Irving Park,5/1/2013,5/12/2014,Commercial,"storefront, framing, drywall, flooring, plumbing, electrical, HVAC. , concrete slab, masonry, a new storefront, door, and windows. The interior renovations include framing, drywall, electrical, plumbing, new baths, flooring, ceiling, doors, HVAC, gas lines, and hot water heater.",100000,134791,7,5,POINT (-87.777877 41.953049)
Jellybean Learning Center,Donna Taylor,7411,7419,S,Cottage Grove,Ave,8,Greater Grand Crossing,87th/Cottage Grove,5/10/2016,2/10/2017,Commercial,removal of the existing brick wall and glass block windows at 7411 and installation of a new storefront system including insulated glass windows and new doors; construction of a new brick wall with stone caps between 7411-13; and the installation of a new storefront system for the 7419 unit.  Address range is 7411-9 S. Cottage Grove Ave.,54450,72600,3,12,POINT (-87.605439 41.759877)
Metropolis Coffee Co LLC,Anthony Dreyfuss,5545,,N,Clark,St,48,Edgewater,Clark/Ridge,,9/23/2008,Industrial,"office buildout, HVAC, electrical, plumbing, bathrooms, production tables, pallet racks, purchase parking spots",150000,300000,,,POINT (-87.668632 41.98278700000001)
Workforce Language Services LLC,Jill Bishop,2934,,N,Milwaukee,Ave,35,Avondale,Fullerton/Milwaukee,7/19/2010,1/7/2011,Commercial,"office buildout, kitchen, floor, bathroom, lighting, door buzzer, office buildout",80618.24,122870.98,,,POINT (-87.716556 41.934652)
Steiner Industries,Robert Steiner,5801,,N,Tripp,Ave,39,North Park,Peterson/Pulaski,6/4/2010,9/6/2011,Industrial,"electric eye, hvac, roof, electric eye, hvac, roof, lighting, garage door,",110147.9,220295.79,,,POINT (-87.734076 41.985816)
Andres Flores,Andres Flores,6621,,N,Clark,St,49,Rogers Park,Clark/Ridge,6/12/2018,2/15/2019,Commercial,"Masonry repairs to the façade elevation (replace lintels on four (4) windows on second floor, repair beam above first floor windows, install new limestone sills, tuck-pointing), rear-east elevation (install new lintels, replace bricks where needed, tuck-pointing, install new flashing); remove and replace the existing storefront at ground floor; HVAC system improvements for ground floor commercial space (replace existing furnace, replace existing AC unit, reconfiguration of exhaust and gas pipes); electrical system improvements for commercial space (remove and replace existing panels in basement).",40537.5,54900,5,0,POINT (-87.672029 42.002185)
"House of Hair, Inc.",Urszula Dybisz,4761,,N,Milwaukee,Ave,45,Portage Park,Jefferson Park,10/15/2013,11/5/2014,Commercial,"remove and replace stairs and landing from salon to parking area; replace cabinets; painting; replace damaged drop ceiling; new traditional stucco below new window and recoat with traditional stucco below old window, ceiling, and between doors; parking lot improvements; new storefront system; HVAC improvements; new roofing system
, new shed awning",60392.43,80523.24,2,2,POINT (-87.759898 41.96694)
Rudy's Cyclery Inc,Rudolph H Kubica,5711,,W,Irving Park,Rd,38,Portage Park,West Irving Park,,1/26/2007,Commercial,"Façade, roof, doors, tuck point, sign",8125.68,16328.15,,,POINT (-87.769898 41.953159)
GB Group Inc,German Bedoya,3932,,N,Lincoln,Ave,47,North Center,Western Avenue (South),10/5/2010,9/22/2011,Commercial,"floor, roof, heating, windows, façade, signage",30937.5,45500,6,,POINT (-87.677986 41.953099)
"Bokster Properties, LLC",Zhouhao (Joe) Cui - 3355 S. Morgan,3355,,S,Morgan,St,11,Bridgeport,35th/Halsted,10/16/2019,11/15/2019,Retail,"facade renovation including rebuild outer face brick on ground level only, installation of new aluminum framed storefront system with new glass windows and door; interior renovations including rough and finish carpentry, framing and drywall per plans, construction of two (2) ADA restrooms, tile flooring, windows, painting, doors, baseboards and trim; electrical work including installation of conduit, junction boxes, wiring, outlets, and switches; plumbing work including rough and finish plumbing, new piping for restrooms, fixtures, waste, water and gas lines, hand sink, mop sink, and 3-compartment sink; HVAC work including new unit and all associated ductwork, make-up air unit, kitchen exhaust hood and fresh air intake.",100000,162225,10,0,POINT (-87.651025 41.833153)
Capitol Carton Co,Jeffery Gurevitz,1917,,W,Walnut,St,27,Near West Side,Kinzie Industrial Corridor,,12/21/2004,Industrial,Roof /,30212.5,60425,,,POINT (-87.674971 41.885896)
Naub LLC,Dev Patel,118,130,E,51st,St,3,Grand Boulevard,47th/King,6/4/2016,4/21/2017,Commercial,"furnish and install five (5) new HVAC systems (five new furnaces and five new HVAC condensers); furnish and install a new roofing system (demolition; repair and replace wood decking as needed; repair and replace copings as needed; install new insulation; install new TPO roofing membrane; install flashings; install roof vents and pitch pans; and furnish and install new gutters, scuppers, and downspouts; apply new silver roof coating).  Address range is 118-30 E. 51st St.",100000,164330,0,24,POINT (-87.621441 41.802056)
"UA Fitness, LLC dba Urban Athlete",Anthony Canzolino,4710,,N,Ravenswood,Ave,47,Lincoln Square,Ravenswood Industrial Corridor,6/9/2015,10/5/2015,Commercial,"a complete rehabilitation for new fitness center including installation of a new storefront system including framing, glass windows and doors; exterior and interior masonry repairs for storefront opening and sealing of interior brick; concrete work to level floors; new steel and metal framing for interior layout; carpentry and millwork, drywall throughout and installation of acoustical ceiling tiles above locker rooms; installation of fire alarm and sprinkler systems; mechanical HVAC improvements including new ductwork, registers, and exhausts; rough and finish electrical work (light fixtures not included); painting and finishing work",50000,354869.55,7,7,POINT (-87.674659 41.967622)
